Direccion,dwdLocalidad.Nombre,dwdPartido.Nombre,dwdProvincia.Nombre,coordenadas
RUTA NAC. N* 9 KM 881,VILLA DE MARIA,RIO SECO,CORDOBA,"-29.905696800844435, -63.72438701538457"
LEANDRO N. ALEM 513,OLIVA,TERCERO ARRIBA,CORDOBA,"-32.045570474828665, -63.56643139880634"
BUENOS AIRES 446,ALTO ALEGRE,UNION,CORDOBA,"-32.34547076339722, -62.88375712355238"
JOSÉ MANUEL ESTRADA 0,CARRILOBO,RIO SEGUNDO,CORDOBA,"-32.345467970410745, -62.883745912706836"
HIPOLITO YRIGOLLEN 171 CHAÑAR,SAN FRANCISCO DEL CHAÑAR,SOBREMONTE,CORDOBA,"-31.871815436758926, -63.111588883151846"
RUTA N9 Y TEODOLINDO -LEONES,LEONES,MARCOS JUAREZ,CORDOBA,"-32.65212990467246, -62.299325536042204"
SAN MARTÍN Y FERRARI,WHEELWRIGHT,GENERAL LOPEZ,SANTA FE,"-33.79313421432668, -61.212772607938966"
CORRIENTES Y LIBERTAD,FIRMAT,GENERAL LOPEZ,SANTA FE,"-33.46150764838612, -61.49058347519513"
SANTA FE 1515 - FIRMAT,FIRMAT,GENERAL LOPEZ,SANTA FE,"-33.458529733350865, -61.49042847241272"
SAN MARTIN 807 - SERODINO,SERODINO,IRIONDO,SANTA FE,"-32.60733499711003, -60.94334339738009"
HIPÓLITO YRIGOYEN 963,LAGUNA LARGA,RIO SEGUNDO,CORDOBA,"-31.780917281825026, -63.797816184414025"
RUTA 8 KM 302 - HUGHES,HUGHES,GENERAL LOPEZ,SANTA FE,"-33.80722387013269, -61.33392262628477"
RN 11 - KM.376 - MONJE,MONJE,SAN JERONIMO,SANTA FE,"-32.366791409497296, -60.93680303486905"
ALBERDI 974 - CDA. DE GOMEZ,CAÑADA DE GOMEZ,IRIONDO,SANTA FE,"-32.808313114503086, -61.40590523459091"
CHILE 390 - SAN EDUARDO,SAN EDUARDO,GENERAL LOPEZ,SANTA FE,"-33.87214824036286, -62.09487409290343"
